@RELATION zoo

@ATTRIBUTE nombre 		{terra-cerdo,antílope,lubina,oso,jabalí,búfalo,novillo,carpa,bagre,cávido,guepardo,gallina,cacho,almeja,cangrejo,cigala,cuervo,ciervo,cazón,delfín,paloma,pato,elefante,flamenco,pulga,rana,mega-murciélago,jirafa,mosquito,cabra,gorila,gaviota,eglefino,hámster,liebre,águila,arenque,abeja,mosca,kiwi,chinita,cogujada,leopardo,león,langosta,lince,visón,topo,mangosta,polilla,gallipato,pulpo,zarigüeya,órice,2struz,periquito,pingüino,faisán,lucio,piraña,crótalo,ornitorrinco,turón,poni,marsopa,puma,minino,mapache,reno,ñandú,escorpión,caballo-marino,foca,león-marino,hidroserpiente,medusa,rayador,págalo,lución,caracol,lenguado,gorrión,ardilla,asteroideos,mantarraya,cisne,termita,sapo,tortuga,tuátara,atún,vampiro,campañol,buitre,ualabí,avispa,lobo,gusano,chochín}
@ATTRIBUTE peludo 		{false,true}
@ATTRIBUTE emplumado 	{false,true}
@ATTRIBUTE ovíparo 		{false,true}
@ATTRIBUTE lechero 		{false,true}
@ATTRIBUTE volador 		{false,true}
@ATTRIBUTE acuático 	{false,true}
@ATTRIBUTE depredador 	{false,true}
@ATTRIBUTE dentado 		{false,true}
@ATTRIBUTE vertebrado 	{false,true}
@ATTRIBUTE respirador 	{false,true}
@ATTRIBUTE venenoso 	{false,true}
@ATTRIBUTE aletado 		{false,true}
@ATTRIBUTE 0_patas 		{false,true}
@ATTRIBUTE 2_patas 		{false,true}
@ATTRIBUTE 4_patas 		{false,true}
@ATTRIBUTE 5_patas 		{false,true}
@ATTRIBUTE 6_patas 		{false,true}
@ATTRIBUTE 8_patas 		{false,true}
@ATTRIBUTE encolado 	{false,true}
@ATTRIBUTE doméstico 	{false,true}
@ATTRIBUTE pequeño 		{false,true}
@ATTRIBUTE tipo 		INTEGER [1,12]

@DATA
terra-cerdo,true,false,false,true,false,false,true,true,true,true,false,false,false,false,true,false,false,false,false,false,true,1
antílope,true,false,false,true,false,false,false,true,true,true,false,false,false,false,true,false,false,false,true,false,true,1
lubina,false,false,true,false,false,true,true,true,true,false,false,true,true,false,false,false,false,false,true,false,false,4
oso,true,false,false,true,false,false,true,true,true,true,false,false,false,false,true,false,false,false,false,false,true,1
jabalí,true,false,false,true,false,false,true,true,true,true,false,false,false,false,true,false,false,false,true,false,true,1
búfalo,true,false,false,true,false,false,false,true,true,true,false,false,false,false,true,false,false,false,true,false,true,1
novillo,true,false,false,true,false,false,false,true,true,true,false,false,false,false,true,false,false,false,true,true,true,1
carpa,false,false,true,false,false,true,false,true,true,false,false,true,true,false,false,false,false,false,true,true,false,4
bagre,false,false,true,false,false,true,true,true,true,false,false,true,true,false,false,false,false,false,true,false,false,4
cávido,true,false,false,true,false,false,false,true,true,true,false,false,false,false,true,false,false,false,false,true,false,1
guepardo,true,false,false,true,false,false,true,true,true,true,false,false,false,false,true,false,false,false,true,false,true,1
gallina,false,true,true,false,true,false,false,false,true,true,false,false,false,true,false,false,false,false,true,true,false,2
cacho,false,false,true,false,false,true,true,true,true,false,false,true,true,false,false,false,false,false,true,false,false,4
almeja,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,7
cangrejo,false,false,true,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,8
cigala,false,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,8
cuervo,false,true,true,false,true,false,true,false,true,true,false,false,false,true,false,false,false,false,true,false,false,2
ciervo,true,false,false,true,false,false,false,true,true,true,false,false,false,false,true,false,false,false,true,false,true,1
cazón,false,false,true,false,false,true,true,true,true,false,false,true,true,false,false,false,false,false,true,false,true,4
